finding,data_source,observation,wcag,impact,inclusion,effort,priority
Buttons same colour not distinguishable,metrics.csv,P1 struggles to navigate UI,1.4.11 Level AA,2,5,3,4
Background uncomfortable to read from,metrics.csv,P1 struggles to read data in text box,1.4.3 Level AA,5,5,3,7
Takes a little more time to navigate to wanted task,metrics.csv,P2: “It would be cool to mark it as important so it appears at the top of the list",2.4.3 Level A,2,3,2,3
Deleting/Adding a Task does not produce audio queue,Pilot study,P1 asked if this could be implemented as a conformation,4.1.3 Level AA,4,5,4,5
Font too small,Pilot Study,P1 said it would be nice if font was bigger,1.4.4 Level AA,2,5,2,5
